inx 	 gt 	 dt
510	414	473
511	414	1081
512	414	473
513	414	1081
514	414	473
515	414	1081
516	414	1079
517	414	473
518	414	335
519	414	473
520	414	2172
521	414	1081
522	414	473
523	414	1081
524	414	2027
525	414	1081
526	414	85
527	414	473
528	414	335
529	414	2172
530	414	1079
531	414	335
532	414	1081
533	414	1081
534	414	1079
535	414	1079
536	414	1081
537	414	1079
538	414	85
539	414	1079
540	414	473
541	414	1081
542	414	473
543	414	1079
544	414	1756
545	414	473
546	414	473
547	414	473
548	414	473
549	414	1081
550	414	1079
551	414	1756
552	414	473
553	414	335
554	414	1081
555	414	473
556	414	1079
557	414	473
558	414	2172
559	414	1079
560	414	335
561	414	1079
562	414	2172
563	414	1079
564	415	335
565	416	2172
566	417	1079
567	417	1081
568	417	1081
569	417	1079
570	417	2027
571	417	2027
572	417	1488
573	417	473
574	417	1081
575	417	1079
576	417	1079
577	417	1081
578	417	1081
579	417	1081
580	417	2027
581	417	473
582	417	1081
583	417	1488
584	417	1079
585	417	1759
586	417	1759
587	417	1079
588	417	1759
589	417	1081
590	417	1081
591	417	1081
592	417	1081
593	417	1081
594	417	473
595	417	473
596	417	2172
597	417	85
598	417	1081
599	417	1079
600	417	1081
601	417	1081
602	417	1079
603	417	1081
604	417	1079
605	417	85
606	417	1081
607	417	1081
608	417	473
609	417	1079
610	417	1081
611	417	1759
612	417	1759
613	417	1081
614	417	1079
615	417	473
616	417	1756
617	417	1756
618	417	1079
619	422	1079
620	420	1079
621	420	1079
622	420	1079
623	420	1079
624	420	1079
625	420	1079
626	420	1079
627	420	1079
628	420	1079
629	420	1079
630	420	1079
631	420	1079
632	420	1079
633	420	1079
634	420	1079
635	420	1079
636	420	1079
637	420	335
638	420	2027
639	420	1079
640	420	335
641	420	335
642	420	1079
643	420	1079
644	420	1079
645	420	335
646	420	1079
647	420	1079
648	420	473
649	420	1079
650	420	335
651	420	1079
652	420	1081
653	420	1756
654	420	1756
655	420	335
656	420	1756
657	420	473
658	420	473
659	420	473
660	420	1100
661	420	1079
662	420	85
663	420	1079
664	420	473
665	420	1332
666	420	473
667	420	1081
668	420	1756
669	420	1079
670	420	473
671	420	1081
672	420	1079
673	420	1079
674	420	1081
675	420	473
676	420	1079
677	420	1079
678	420	1079
679	420	2172
680	420	1079
681	420	1079
682	420	1079
683	420	473
684	420	1079
685	420	1079
686	420	85
687	420	1079
688	420	1079
689	420	473
690	420	85
691	420	1079
692	420	1756
693	420	1079
694	420	1079
695	420	1081
696	420	1079
697	420	1079
698	420	1079
699	420	1079
700	420	1079
701	420	1079
702	420	1100
703	420	1079
704	420	85
705	420	1079
706	420	1079
707	420	85
708	420	1079
709	420	1079
710	420	473
711	420	85
712	420	2027
713	420	1079
714	420	473
715	420	1081
716	420	473
717	420	1079
718	420	473
719	420	1081
720	420	1079
721	420	473
722	420	473
723	420	1756
724	420	1079
725	420	473
726	420	1079
727	420	709
728	420	1081
729	420	473
730	420	473
731	420	473
732	420	1081
733	420	1079
734	420	1079
735	424	1079
736	424	1081
737	424	1081
738	433	1079
739	442	1079
740	442	1081
741	444	1079
742	444	1079
743	446	1081
744	446	1548
745	446	1079
746	446	1081
747	446	1079
748	446	2172
749	446	1079
750	446	1081
751	446	1081
752	448	1079
753	455	1079
754	455	1079
755	455	1079
756	461	1081
757	461	1081
758	461	1756
759	461	1081
760	461	1079
761	461	1079
762	461	1079
763	461	1100
764	479	1079
765	480	473
766	480	335
767	499	1081
768	499	473
769	2364	1756
770	2364	1081
771	511	1756
772	511	1079
773	511	335
774	511	1079
775	511	335
776	511	1079
777	511	2172
778	511	1079
779	511	1079
780	511	1079
781	511	1079
782	511	1079
783	511	1079
784	511	473
785	511	1079
786	511	473
787	511	1079
788	511	1079
789	511	2172
790	511	2172
791	511	1079
792	511	1079
793	511	1079
794	511	1079
795	511	1079
796	511	1079
797	511	1079
798	511	1079
799	511	2172
800	511	1756
801	511	1079
802	511	473
803	511	2172
804	511	1079
805	511	1079
806	511	473
807	511	1079
808	511	1081
809	511	1756
810	511	1079
811	511	1079
812	511	85
813	514	1081
814	518	1759
815	518	2172
816	518	2172
817	518	1081
818	518	1079
819	518	1079
820	518	2172
821	518	2027
822	518	1079
823	518	1079
824	518	1079
825	518	1079
826	518	1759
827	518	1548
828	518	1079
829	518	1549
830	518	1079
831	518	1548
832	518	1081
833	518	1081
834	518	85
835	518	1081
836	518	1079
837	518	1079
838	518	1079
839	523	1079
840	552	1079
841	525	1079
842	525	2172
843	525	1081
844	525	2172
845	525	1079
846	525	473
847	525	1079
848	525	2172
849	525	1079
850	525	2172
851	525	2172
852	525	473
853	525	473
854	525	1081
855	525	1081
856	525	1081
857	525	2172
858	525	1079
859	525	1081
860	525	1079
861	525	1079
862	525	1079
863	525	473
864	525	1079
865	525	1079
866	525	2172
867	534	1079
868	534	1759
869	534	473
870	534	1081
871	534	473
872	534	1079
873	534	2172
874	534	2172
875	534	2378
876	534	2378
877	534	473
878	534	1488
879	534	1488
880	534	1081
881	534	1548
882	534	473
883	536	1081
884	540	1081
885	540	1079
886	540	1079
887	542	1081
888	544	1756
889	544	1756
890	544	1081
891	544	2027
892	544	1081
893	544	1548
894	544	1079
895	544	1079
896	544	1079
897	544	2378
898	544	1488
899	544	1548
900	544	1488
901	551	1079
902	551	1081
903	551	1079
904	509	2378
905	509	1549
906	563	1081
907	563	1079
908	563	1081
909	563	1081
910	567	473
911	591	1488
912	591	335
913	586	1079
914	586	1079
915	586	2027
916	2383	85
917	2383	1081
918	2379	1081
919	2379	1332
920	635	2027
921	635	1079
922	637	473
923	652	1079
924	652	1079
925	652	1079
926	652	1756
927	666	1079
928	666	85
929	655	335
930	655	1079
931	657	335
932	657	1079
933	657	1081
934	657	335
935	657	1081
936	663	1081
937	663	1081
938	646	1081
939	646	1756
940	646	473
941	646	1079
942	648	2172
943	640	2027
944	642	1081
945	669	2172
946	669	473
947	688	2027
948	688	1079
949	688	1079
950	688	2027
951	688	2027
952	688	1756
953	688	1079
954	677	1081
955	677	1081
956	677	1756
957	677	1079
958	677	1079
959	677	1079
960	677	473
961	677	1081
962	677	1079
963	677	1081
964	677	1081
965	679	1079
966	679	1081
967	679	1081
968	679	1081
969	679	1079
970	681	1081
971	681	1079
972	681	335
973	681	1756
974	681	1079
975	681	1081
976	681	2027
977	681	1081
978	681	1081
979	681	1079
980	681	1079
981	683	1081
982	683	1079
983	686	1081
984	692	85
985	694	1079
986	694	85
987	694	1079
988	697	1079
989	697	1081
990	697	85
991	697	1079
992	697	1079
993	697	1079
994	697	1079
995	697	1081
996	697	1079
997	697	2172
998	697	1081
999	697	1081
1000	697	1079
1001	697	1079
1002	697	1079
1003	697	1079
1004	697	1079
1005	697	1081
1006	697	1079
1007	697	1079
1008	697	1079
1009	697	1079
1010	697	1081
1011	697	1081
1012	698	1079
1013	725	85
1014	725	1079
1015	725	1081
1016	725	1079
1017	725	1081
1018	725	1759
1019	702	1079
1020	702	1079
1021	702	1079
1022	702	1079
1023	702	2027
1024	702	1079
1025	702	1079
1026	702	1079
1027	702	1079
1028	702	1079
1029	702	1079
1030	702	1079
1031	702	1079
1032	702	1081
1033	702	335
1034	702	335
1035	702	1079
1036	702	1756
1037	702	1079
1038	702	1081
1039	702	2027
1040	702	335
1041	702	85
1042	702	85
1043	702	85
1044	702	1081
1045	702	1756
1046	702	1079
1047	702	1079
1048	702	1081
1049	702	473
1050	702	1079
1051	702	1079
1052	702	1081
1053	702	1079
1054	702	2172
1055	702	1079
1056	702	1079
1057	702	1079
1058	702	473
1059	702	335
1060	702	2172
1061	702	473
1062	702	1081
1063	702	1081
1064	702	1548
1065	702	1079
1066	702	1081
1067	702	1079
1068	702	1756
1069	702	1079
1070	702	1081
1071	702	1079
1072	702	1081
1073	702	1081
1074	702	1079
1075	702	2172
1076	702	2172
1077	702	1081
1078	702	1079
1079	702	1079
1080	702	85
1081	702	1081
1082	702	1079
1083	702	85
1084	702	473
1085	702	1549
1086	702	1549
1087	702	1079
1088	702	1079
1089	702	1081
1090	702	1549
1091	702	473
1092	703	1079
1093	708	1081
1094	708	1079
1095	708	1081
1096	708	473
1097	708	1079
1098	708	1079
1099	708	1081
1100	708	2172
1101	708	1081
1102	708	473
1103	708	1079
1104	708	1079
1105	708	1079
1106	708	1079
1107	708	2172
1108	708	2172
1109	708	1079
1110	708	1079
1111	708	1081
1112	708	1081
1113	708	1081
1114	708	1081
1115	708	1079
1116	708	1079
1117	708	1081
1118	708	85
1119	708	1081
1120	708	1081
1121	712	1079
1122	712	1079
1123	712	1079
1124	712	1759
1125	712	1100
1126	712	2027
1127	712	335
1128	712	1100
1129	712	2027
1130	712	2172
1131	712	1081
1132	712	1081
1133	712	1081
1134	712	1081
1135	712	2172
1136	712	1081
1137	712	1081
1138	712	2172
1139	712	1079
1140	712	2172
1141	712	85
1142	712	1079
1143	712	1079
1144	712	1079
1145	712	1079
1146	712	85
1147	712	85
1148	712	1079
1149	712	2172
1150	712	1079
1151	712	1759
1152	712	2172
1153	712	1081
1154	712	1081
1155	712	2172
1156	712	2172
1157	712	1079
1158	712	1079
1159	712	1079
1160	712	1079
1161	712	1079
1162	712	1079
1163	712	1081
1164	712	2172
1165	712	1081
1166	712	1079
1167	712	85
1168	712	1081
1169	712	1081
1170	712	1079
1171	712	85
1172	712	2172
1173	716	2027
1174	716	2172
1175	716	1079
1176	716	1079
1177	716	1079
1178	716	1081
1179	716	1079
1180	716	1079
1181	716	1079
1182	716	1079
1183	716	1079
1184	716	1079
1185	716	1079
1186	716	2027
1187	716	1100
1188	716	1079
1189	716	1079
1190	716	1079
1191	716	1079
1192	716	1079
1193	716	1081
1194	728	1081
1195	728	1081
1196	728	2172
1197	728	1079
1198	728	1079
1199	728	2172
1200	728	1079
1201	728	1079
1202	728	1079
1203	728	2172
1204	728	1081
1205	728	1079
1206	728	1079
1207	728	1081
1208	728	1081
1209	728	85
1210	728	85
1211	728	1079
1212	728	1081
1213	733	2172
1214	739	1079
1215	740	2172
1216	740	1079
1217	740	1081
1218	740	1079
1219	740	1081
1220	740	1081
1221	740	1079
1222	740	1079
1223	740	1079
1224	740	1079
1225	740	2172
1226	740	1079
1227	740	473
1228	740	1079
1229	740	1081
1230	740	1079
1231	740	1079
1232	740	1079
1233	740	1079
1234	740	2172
1235	740	1079
1236	740	1100
1237	740	1079
1238	740	2172
1239	740	1756
1240	740	2172
1241	740	1081
1242	740	1079
1243	740	1079
1244	740	1079
1245	740	1079
1246	740	1079
1247	740	1079
1248	742	1081
1249	742	1081
1250	742	1079
1251	742	1079
1252	742	1079
1253	742	1079
1254	742	2172
1255	742	1079
1256	742	2172
1257	742	2172
1258	742	1081
1259	742	2172
1260	742	1079
1261	742	1079
1262	742	1079
1263	742	1079
1264	742	1079
1265	742	1079
1266	742	2172
1267	742	1079
1268	742	1079
1269	742	1100
1270	742	1081
1271	742	85
1272	742	85
1273	742	1079
1274	743	1081
1275	746	1081
1276	746	1081
1277	746	1079
1278	746	1079
1279	746	473
1280	746	1079
1281	746	1079
1282	746	1081
1283	746	1079
1284	746	1079
1285	746	85
1286	747	335
1287	747	2027
1288	747	1081
1289	747	473
1290	747	1079
1291	747	1079
1292	747	1079
1293	747	1079
1294	747	1079
1295	747	1079
1296	747	85
1297	747	1079
1298	747	1488
1299	747	1079
1300	747	1081
1301	747	1081
1302	753	1079
1303	753	1079
1304	753	1079
1305	753	1079
1306	753	1079
1307	753	1100
1308	754	1079
1309	754	1081
1310	754	1079
1311	754	1079
1312	754	1079
1313	754	1079
1314	754	1081
1315	754	1079
1316	754	1079
1317	754	2172
1318	754	2027
1319	754	1079
1320	754	1079
1321	754	1079
1322	754	1079
1323	754	1081
1324	754	1079
1325	754	1079
1326	754	1079
1327	754	1079
1328	754	1079
1329	754	1079
1330	754	1756
1331	754	1079
1332	754	1079
1333	754	1079
1334	754	1079
1335	754	1079
1336	754	1079
1337	754	1079
1338	754	1079
1339	754	1079
1340	754	1079
1341	754	1079
1342	754	1081
1343	754	1079
1344	754	1079
1345	754	1081
1346	754	1079
1347	754	1079
1348	754	1081
1349	754	1330
1350	754	1079
1351	754	1079
1352	754	473
1353	758	1081
1354	758	1079
1355	758	1079
1356	758	1079
1357	758	2027
1358	758	473
1359	758	1079
1360	758	1079
1361	758	1079
1362	758	1079
1363	758	1081
1364	758	1079
1365	758	1079
1366	758	1079
1367	758	1079
1368	761	85
1369	761	1079
1370	761	1081
1371	761	1079
1372	761	85
1373	761	85
1374	761	85
1375	761	85
1376	761	85
1377	768	1079
1378	768	1100
1379	768	1081
1380	768	1079
1381	768	1079
1382	768	1759
1383	768	1079
1384	768	1079
1385	768	1081
1386	768	1079
1387	768	473
1388	768	473
1389	768	1079
1390	768	1079
1391	768	85
1392	768	85
1393	768	1079
1394	768	1079
1395	768	85
1396	768	85
1397	768	1756
1398	772	1079
1399	778	1079
1400	778	85
1401	778	1759
1402	778	1079
1403	778	1079
1404	782	1081
1405	783	1100
1406	783	1081
1407	786	473
1408	786	1081
1409	792	1079
1410	792	1100
1411	792	1079
1412	803	1100
1413	803	1079
1414	803	1100
1415	803	1079
1416	803	1081
1417	803	85
1418	803	1081
1419	803	85
1420	805	473
1421	823	1079
1422	823	1756
1423	823	1081
1424	825	1079
1425	825	1081
1426	827	1081
1427	827	1079
1428	828	1081
1429	828	1079
1430	828	1081
1431	828	85
1432	831	1079
1433	831	1079
1434	831	1756
1435	831	85
1436	831	1756
1437	831	1756
1438	831	1079
1439	831	1756
1440	831	1332
1441	831	335
1442	836	1756
1443	840	1079
1444	840	1081
1445	838	2027
1446	838	1081
1447	838	1081
1448	838	1081
1449	838	1081
1450	838	1081
1451	841	1081
1452	841	1079
1453	841	1081
1454	841	1081
1455	844	1079
1456	849	1081
1457	853	1079
1458	856	2027
1459	856	335
1460	856	2027
1461	856	1079
1462	856	473
1463	857	1079
1464	869	1079
1465	869	1081
1466	869	1079
1467	887	473
1468	887	1756
1469	887	1079
1470	887	1081
1471	887	1081
1472	887	1079
1473	887	1081
1474	897	1079
1475	897	1079
1476	897	473
1477	911	473
1478	911	1332
1479	916	1081
1480	916	1081
1481	916	1079
1482	941	335
1483	946	2172
1484	946	2172
1485	948	1081
1486	948	1079
1487	948	2172
1488	948	1079
1489	948	2172
1490	948	1079
1491	954	1081
1492	954	1079
1493	954	2172
1494	954	1081
1495	954	1081
1496	954	1079
1497	954	2172
1498	954	1079
1499	954	1079
1500	954	1079
1501	954	1079
1502	954	1081
1503	954	1079
1504	955	1549
1505	958	1081
1506	958	1081
1507	958	1081
1508	958	1081
1509	958	1081
1510	961	1081
1511	961	1081
1512	961	1079
1513	961	1079
1514	961	1081
1515	961	1079
1516	961	1081
1517	961	473
1518	961	2172
1519	961	1081
1520	961	473
1521	961	1079
1522	961	1081
1523	961	1081
1524	961	1081
1525	961	1081
1526	961	1081
1527	961	1081
1528	961	1081
1529	961	473
1530	961	1081
1531	961	473
1532	961	1081
1533	961	1081
1534	961	473
1535	967	2172
1536	967	2142
1537	969	1079
1538	969	473
1539	969	1081
1540	969	1081
1541	969	1081
1542	969	1081
1543	969	1079
1544	969	1081
1545	973	1081
1546	980	1081
1547	980	1081
1548	980	1081
1549	985	1081
1550	985	1488
1551	985	1081
1552	985	1079
1553	997	1081
1554	997	1756
1555	997	2172
1556	997	1079
1557	1007	1079
1558	1007	1079
1559	1007	1079
1560	1007	2172
1561	1007	1079
1562	1007	1079
1563	1007	1079
1564	1007	1079
1565	1007	1079
1566	1018	2172
1567	1018	1081
1568	1018	1081
1569	1018	1081
1570	1018	1081
1571	1024	1081
1572	1030	1081
1573	1030	2172
1574	1036	1081
1575	1036	1081
1576	1036	1079
1577	1036	1081
1578	1036	1081
1579	1036	1079
1580	1036	1079
1581	1036	1079
1582	1036	1079
1583	1036	1081
1584	1044	1081
1585	1044	1081
1586	1044	1079
1587	1049	1081
1588	1049	473
1589	1049	2027
1590	1049	473
1591	1049	1081
1592	1049	1079
1593	1049	1081
1594	1049	1081
1595	1056	1081
1596	1068	1081
1597	1068	1079
1598	1068	2027
1599	1068	2027
1600	1068	1079
1601	1068	1079
1602	1068	1756
1603	1068	2027
1604	1068	2027
1605	1068	1079
1606	1068	1079
1607	1068	1081
1608	1068	473
1609	1068	473
1610	1072	1079
1611	1072	1081
1612	1072	1079
1613	1072	1079
1614	1072	2172
1615	1072	85
1616	1072	473
1617	1072	1079
1618	1072	1079
1619	1072	1079
1620	1072	473
1621	1072	1081
1622	1072	1079
1623	1072	473
1624	1072	1079
1625	1072	1081
1626	1072	1081
1627	1072	1081
1628	1072	1081
1629	1072	1756
1630	1072	1081
1631	1072	1332
1632	1072	1079
1633	1072	1079
1634	1072	1079
1635	1072	1081
1636	1085	2027
1637	1086	1079
1638	1086	1081
1639	1090	1079
1640	1090	1079
1641	1090	1079
1642	1090	1079
1643	1090	1079
1644	1090	1079
1645	1090	1079
1646	1090	1081
1647	1108	1079
1648	1112	335
1649	1131	85
1650	1136	1756
1651	1140	1756
1652	1142	1079
1653	1142	1079
1654	1154	1079
1655	1154	1079
1656	1154	1079
1657	1154	1081
1658	1154	2172
1659	1154	1081
1660	1154	1079
1661	1154	2172
1662	1154	1081
1663	1154	1081
1664	1156	1549
1665	1156	1079
1666	1156	1081
1667	1156	1081
1668	1156	1081
1669	1156	1079
1670	1156	1079
1671	1156	1079
1672	1156	1079
1673	1156	1081
1674	1156	1079
1675	1156	1081
1676	1156	2378
1677	1156	1079
1678	1156	1081
1679	1156	473
1680	1156	1079
1681	1156	1079
1682	1156	1079
1683	1156	1549
1684	1156	1079
1685	1156	1079
1686	1156	1081
1687	1164	1079
1688	1164	1079
1689	1167	1081
1690	1167	1079
1691	1167	1079
1692	1167	1549
1693	1167	1081
1694	1167	1081
1695	1167	1488
1696	1172	1081
1697	1240	1079
1698	1240	335
1699	1240	1081
1700	1240	1081
1701	1240	1079
1702	1240	1079
1703	1240	473
1704	1240	1079
1705	1240	1079
1706	1175	1079
1707	1175	1079
1708	1175	2172
1709	1175	2172
1710	1175	2172
1711	1175	1079
1712	1175	473
1713	1175	85
1714	1175	1081
1715	1175	2172
1716	1175	1081
1717	1175	1079
1718	1175	1079
1719	1175	1079
1720	1175	1756
1721	1175	1081
1722	1175	1079
1723	1175	1081
1724	1175	1079
1725	1175	1081
1726	1175	1081
1727	1175	1079
1728	1188	1081
1729	1190	1081
1730	1190	1081
1731	1190	1079
1732	1190	1079
1733	1190	1081
1734	1190	1081
1735	1190	1079
1736	1190	1079
1737	1190	85
1738	1190	1081
1739	1190	1081
1740	1190	85
1741	1190	473
1742	1190	1079
1743	1190	1079
1744	1190	1081
1745	1190	1081
1746	1190	1081
1747	1190	1756
1748	1195	1081
1749	1195	473
1750	1195	1079
1751	1195	1079
1752	1195	1081
1753	1195	1079
1754	1195	1081
1755	1195	1079
1756	1195	473
1757	1195	1081
1758	1195	1081
1759	1195	1081
1760	1195	1081
1761	1195	473
1762	1198	1549
1763	1199	1079
1764	1199	1756
1765	1199	335
1766	1199	2027
1767	1199	1081
1768	1199	1079
1769	1199	1756
1770	1199	2172
1771	1199	1079
1772	1199	1081
1773	1199	1079
1774	1202	2172
1775	1202	473
1776	1202	473
1777	1202	1079
1778	1202	1079
1779	1205	1079
1780	1205	1079
1781	1205	1079
1782	1205	1081
1783	1205	1079
1784	1205	1079
1785	1205	1079
1786	1205	1081
1787	1205	1079
1788	1205	85
1789	1205	1079
1790	1205	85
1791	1205	1079
1792	1205	1079
1793	1205	473
1794	1214	1081
1795	1214	1081
1796	1214	1081
1797	1216	473
1798	1216	1081
1799	1218	1759
1800	1220	1079
1801	1225	85
1802	1225	85
1803	1225	1079
1804	1246	1081
1805	1246	1079
1806	1248	1079
1807	1248	1079
1808	1248	2027
1809	1248	1079
1810	1248	1079
1811	1248	1079
1812	1248	1079
1813	1248	1079
1814	1248	2172
1815	1248	85
1816	1248	1079
1817	1248	1079
1818	1248	1079
1819	1248	1079
1820	1248	1079
1821	1255	1081
1822	1264	1081
1823	1264	1081
1824	1269	1081
1825	1269	1081
1826	1269	2172
1827	1269	1079
1828	1269	1081
1829	1271	473
1830	1271	1079
1831	1271	1079
1832	1271	1079
1833	1271	1079
1834	1271	1081
1835	1271	1081
1836	1271	1079
1837	1271	1079
1838	1271	85
1839	1279	1081
1840	1279	1079
1841	1281	2172
1842	1281	1756
1843	1281	1100
1844	1282	2172
1845	1284	1079
1846	1289	1081
1847	1289	1079
1848	1289	1100
1849	1289	1081
1850	1289	1100
1851	1289	1081
1852	1289	85
1853	1289	1079
1854	1289	85
1855	1289	1079
1856	1289	1079
1857	1289	1081
1858	1289	1079
1859	1289	1081
